"Date","Price","Open","High","Low","Change %"
"Jul 01, 2018","1.3209","1.3186","1.3209","1.3186","0.00%"
"Jun 29, 2018","1.3209","1.3077","1.3215","1.3068","1.00%"
"Jun 28, 2018","1.3078","1.3114","1.3123","1.3050","-0.27%"
"Jun 27, 2018","1.3113","1.3229","1.3245","1.3107","-0.87%"
"Jun 26, 2018","1.3228","1.3284","1.3294","1.3192","-0.37%"
"Jun 25, 2018","1.3277","1.3276","1.3292","1.3222","0.11%"
"Jun 24, 2018","1.3262","1.3255","1.3272","1.3255","-0.06%"
"Jun 22, 2018","1.3270","1.3252","1.3316","1.3236","0.14%"
"Jun 21, 2018","1.3252","1.3176","1.3271","1.3101","0.60%"
"Jun 20, 2018","1.3173","1.3174","1.3217","1.3148","-0.05%"
"Jun 19, 2018","1.3180","1.3244","1.3275","1.3150","-0.48%"
"Jun 18, 2018","1.3244","1.3262","1.3287","1.3225","-0.24%"
"Jun 17, 2018","1.3276","1.3266","1.3282","1.3266","-0.07%"
"Jun 15, 2018","1.3285","1.3262","1.3299","1.3212","0.17%"
"Jun 14, 2018","1.3262","1.3375","1.3447","1.3256","-0.85%"
"Jun 13, 2018","1.3376","1.3373","1.3392","1.3308","0.03%"
"Jun 12, 2018","1.3372","1.3382","1.3426","1.3342","-0.02%"
"Jun 11, 2018","1.3375","1.3404","1.3443","1.3345","-0.28%"
"Jun 10, 2018","1.3413","1.3405","1.3416","1.3405","0.01%"
"Jun 08, 2018","1.3412","1.3421","1.3439","1.3354","-0.07%"
"Jun 07, 2018","1.3422","1.3413","1.3474","1.3374","0.07%"
"Jun 06, 2018","1.3413","1.3396","1.3445","1.3383","0.12%"
"Jun 05, 2018","1.3397","1.3314","1.3412","1.3302","0.63%"
"Jun 04, 2018","1.3313","1.3337","1.3400","1.3294","-0.30%"
"Jun 03, 2018","1.3353","1.3344","1.3357","1.3339","0.04%"
"Jun 01, 2018","1.3348","1.3299","1.3363","1.3252","0.36%"
"May 31, 2018","1.3300","1.3290","1.3350","1.3277","0.06%"
"May 30, 2018","1.3292","1.3251","1.3310","1.3242","0.29%"
"May 29, 2018","1.3254","1.3312","1.3328","1.3205","-0.45%"
"May 28, 2018","1.3314","1.3308","1.3342","1.3296","0.04%"
"May 25, 2018","1.3309","1.3380","1.3393","1.3294","-0.30%"
"May 24, 2018","1.3349","1.3346","1.3423","1.3339","0.00%"
"May 23, 2018","1.3349","1.3437","1.3444","1.3305","-0.65%"
"May 22, 2018","1.3436","1.3431","1.3493","1.3412","0.04%"
"May 21, 2018","1.3431","1.3473","1.3485","1.3392","-0.32%"
"May 18, 2018","1.3474","1.3518","1.3531","1.3455","-0.32%"
"May 17, 2018","1.3517","1.3489","1.3571","1.3473","0.22%"
"May 16, 2018","1.3488","1.3506","1.3523","1.3456","-0.13%"
"May 15, 2018","1.3506","1.3558","1.3575","1.3452","-0.37%"
"May 14, 2018","1.3556","1.3547","1.3610","1.3538","0.10%"
"May 11, 2018","1.3543","1.3520","1.3598","1.3502","0.19%"
"May 10, 2018","1.3517","1.3544","1.3618","1.3458","-0.21%"
"May 09, 2018","1.3546","1.3546","1.3608","1.3498","0.00%"
"May 08, 2018","1.3546","1.3557","1.3593","1.3484","-0.08%"
"May 07, 2018","1.3557","1.3536","1.3577","1.3515","0.18%"
"May 04, 2018","1.3533","1.3577","1.3588","1.3487","-0.32%"
"May 03, 2018","1.3576","1.3580","1.3631","1.3537","-0.01%"
"May 02, 2018","1.3578","1.3614","1.3668","1.3554","-0.26%"
"May 01, 2018","1.3614","1.3762","1.3776","1.3589","-1.15%"
"Apr 30, 2018","1.3772","1.3787","1.3795","1.3714","-0.06%"
"Apr 27, 2018","1.3780","1.3920","1.3937","1.3747","-0.98%"
"Apr 26, 2018","1.3916","1.3933","1.3999","1.3895","-0.11%"
